season,division,matchday,date,home_team,away_team,score,year,month,weekday,home_goals,away_goals,result,target,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against,avg_goals_for_combined,avg_goals_against_combined,home_team_avg_goals_for,home_team_avg_goals_against,away_team_avg_goals_for,away_team_avg_goals_against
1990-1991,1,21,1991-02-03,Espanyol,CD Castellón,1:0,1991,2,6,1.0,0.0,1,0,1.0,0.5,0.0,0.5,0.5,0.5,1.5,2.0,1.25,0.25
1990-1991,1,21,1991-02-03,CD Tenerife,CA Osasuna,2:1,1991,2,6,2.0,1.0,1,0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.1666666666666665,1.1666666666666665,1.0,0.5,1.5,1.5
1990-1991,1,21,1991-02-03,Burgos CF,Athletic,2:1,1991,2,6,2.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,1.1666666666666667,1.0,0.6666666666666666,0.6666666666666666,2.6666666666666665
1990-1991,1,21,1991-02-03,Real Oviedo,RCD Mallorca,1:0,1991,2,6,1.0,0.0,1,0,1.0,0.5,1.5,1.5,1.25,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333
1990-1991,1,21,1991-02-03,Real Madrid,Sevilla FC,7:0,1991,2,6,7.0,0.0,1,0,1.5,1.0,0.0,0.0,0.75,0.5,1.0,0.5,0.0,0.5
1990-1991,1,21,1991-02-03,Real Sociedad,Cádiz CF,0:0,1991,2,6,0.0,0.0,X,1,1.0,0.5,0.6666666666666666,2.0,0.8333333333333333,1.25,0.5,1.0,0.6666666666666666,1.3333333333333333
1990-1991,1,21,1991-02-03,Real Betis,Atlético Madrid,0:0,1991,2,6,0.0,0.0,X,1,1.5,2.0,1.25,0.25,1.375,1.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0
1990-1991,1,22,1991-02-09,CA Osasuna,Athletic,1:0,1991,2,5,1.0,0.0,1,0,1.75,0.5,0.5,2.0,1.125,1.25,1.75,0.5,0.5,2.0
1990-1991,1,22,1991-02-10,Real Zaragoza,Real Oviedo,0:1,1991,2,6,0.0,1.0,2,2,0.75,1.0,0.75,0.75,0.75,0.875,0.75,1.0,0.75,0.75
1990-1991,1,22,1991-02-10,Sevilla FC,Espanyol,1:1,1991,2,6,1.0,1.0,X,1,1.4,0.6,0.8,1.0,1.1,0.8,1.4,0.6,0.8,1.0
1990-1991,1,22,1991-02-10,Barcelona,Real Betis,4:2,1991,2,6,4.0,2.0,1,0,2.2,0.8,0.6,1.6,1.4000000000000001,1.2000000000000002,2.2,0.8,0.6,1.6
1990-1991,1,22,1991-02-10,Real Sociedad,Burgos CF,3:1,1991,2,6,3.0,1.0,1,0,0.8,0.4,0.75,0.75,0.775,0.575,0.8,0.4,0.75,0.75
1990-1991,1,22,1991-02-10,Cádiz CF,CD Logroñés,2:0,1991,2,6,2.0,0.0,1,0,0.5,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0
1990-1991,1,22,1991-02-10,Sporting Gijón,CD Tenerife,2:1,1991,2,6,2.0,1.0,1,0,1.75,0.75,1.0,3.0,1.375,1.875,1.75,0.75,1.0,3.0
1990-1991,1,22,1991-02-10,RCD Mallorca,Real Madrid,1:1,1991,2,6,1.0,1.0,X,1,1.2,0.8,1.0,0.75,1.1,0.775,1.2,0.8,1.0,0.75
1990-1991,1,22,1991-02-10,Atlético Madrid,Real Valladolid,2:0,1991,2,6,2.0,0.0,1,0,2.0,0.75,0.4,1.6,1.2,1.175,2.0,0.75,0.4,1.6
1990-1991,1,22,1991-02-10,CD Castellón,Valencia,0:2,1991,2,6,0.0,2.0,2,2,1.4,0.6,1.0,1.4,1.2,1.0,1.4,0.6,1.0,1.4
